"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
45453;"Brasil, 76940-000";-11,7202112;-61,7032288;1
45275;"Brasil, 49507-780";-24,2776384;-53,8257298351509;1
21688;"Brasil, 68040-050";-2,4253071;-54,7252501;1
19467;"Brasil, 78980-000";-15,61050205;-56,1544917542865;1
51936;"Brasil, 78300-972";-14,6776452;-39,6293324;1
50486;"Brasil, 87502-000";-23,75439865;-53,28380595;1
19466;"Brasil, 76980-000";-12,7336068461538;-60,1418762134615;1
6678;"Brasil, 95600-000";-29,64572467;-50,780557518;1
6585;"Brasil, 01411-000";-23,5638477159574;-46,6644813382979;1
52864;"Brasil, 05017-000";-23,53712231;-46,6799282054545;1
24785;"Brasil, 65075-441";-2,500126575;-44,288428325;1
44124;"Brasil, 65800-000";-7,53856921034483;-46,0429024827586;1
42420;"Brasil, 74013-030";-30,8102662;-53,8926286398211;1
6739;"Brasil, 04534-010";-1,3392902;-47,580876;1
15618;"Brasil, 14801-290";-21,7930763;-48,1738231;1
20868;"Brasil, 97800-000";-28,4081720608696;-54,9598187478261;1
